product name,price,discount,reviews
Fashion Vintage Breathable High Top Casual Canvas Sneakers,"KSh 1,199 - KSh 1,249",40%,3.9 out of 5(346)
"Nunix 3 In 1 Blender, Grinder & Chopper","KSh 2,599",13%,4.3 out of 5(11)
Yixin 3 Pack Men's Summer Loose Short Sleeve T-shirt,KSh 816,49%,3.9 out of 5(66)
Garnier Even & Matte Oily Skin Face Moisturizer,KSh 840,20%,4 out of 5(950)
"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner","KSh 2,699",18%,4.4 out of 5(118)
SiYi Sex Lubricant Water Based Lubricant Sex Lube-215ML,KSh 594,15%,4.3 out of 5(192)
Generic Mosquito Net With Metallic Stand - CREAM,"KSh 1,385 - KSh 1,390",31%,4 out of 5(43)
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 2,359",,4.9 out of 5(74)
"Nokia 150 2.4"" QVGA Display FM 2000 Phonebook Entries","KSh 1,799",33%,3.9 out of 5(40)
Samsung Flash Disk 64GB - High Speed + Free OTG Cable,KSh 790,47%,4 out of 5(184)
Generic Electric Cooker / Single Spiral Coil Hotplate,KSh 945,44%,3.8 out of 5(63)
"Geemy Rechargeable Hair Shaving Machine, Shaver- 3 In 1",KSh 880,12%,4.2 out of 5(351)
Amaze TV Guard/DVD Guard - 13A.,KSh 675,33%,4.4 out of 5(282)
"Home Design Rotating 14"" - 55"" Full Motion Swivel TV Bracket",KSh 923,42%,4.3 out of 5(544)
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",KSh 780,25%,4.6 out of 5(677)
Dawn Pekee Poa Toilet Paper 10's Wrapped,KSh 195,,3.8 out of 5(90)
Exe Exe All Purpose Flour 2kg,KSh 199,3%,4.5 out of 5(751)
"Infinix Hot 30 Play, 6.82"", 8GB RAM, 128GB, 6000mAh, (DUAL SIM), 4G - Mirage Black","KSh 20,999",9%,4.3 out of 5(32)
"Vitron 4388FS, 43'' Inch SMART Android Frameless TV,Netflix,Youtube + 8 FREE GIFTS","KSh 24,399",19%,4.3 out of 5(255)
Garnier Skin Active Hydrabomb Green Tea Tissue Face Mask,KSh 350,,4.6 out of 5(768)
"Vitron HTC3218 32"" Inch Television Frameless LED Digital HD TV USB HDMI + 6 Free Gifts","KSh 13,798",31%,4.4 out of 5(146)
Fashion 6Pcs Soft Cotton Checked Big Size Men's Boxers –for Trauser Size 34-45,KSh 799,11%,4.3 out of 5(61)
Power King Heavy Duty 4-Way Extension Cable,KSh 370,26%,4 out of 5(54)
"Oraimo Deeper Bass, HD Sound Earphone + Mic",KSh 299,,4.5 out of 5(407)
Maybelline Volume Express Colossal 100% Black Mascara,KSh 938,25%,4.4 out of 5(1093)
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver,"KSh 19,100",17%,4.6 out of 5(105)
Fashion Male Breathable Glow In The Dark Starry Wear-resistant Socks Sneakers - White,KSh 650,49%,4.4 out of 5(32)
Maybelline Lasting Fix Setting Spray,"KSh 2,100",,4.4 out of 5(1311)
Fashion 4Pairs Finest Cotton Freesize Unisex Plain Invisible Socks,KSh 207,40%,4 out of 5(2116)
Garnier Skin Active Hydrabomb Chamomile Tissue Face Mask,KSh 350,,4.6 out of 5(876)
"Fashion 5 Pack Hard Khakis - Beige, Navy Blue, Green, Chocolate & Maroon","KSh 4,599 - KSh 5,499",34%,4.2 out of 5(559)
Annov Two-tier Stainless Steel Dish Rack PLUS 1SPOON  1FORK,"KSh 1,099",31%,3.8 out of 5(216)
"Home Design ROTATING 14""-55"" TILT MOVING WALL MOUNT BRACKET",KSh 935,38%,4.1 out of 5(621)
Geemy Professional Hair Clipper /Shaving Machine-Kinyozi,"KSh 1,050",19%,3.8 out of 5(342)
Maybelline Lifter Gloss Petal With Hyaluronic Acid,KSh 990,40%,4.4 out of 5(120)
Generic Big Purple Round Mosquito Net For Single Bed-FREE SIZE.,KSh 879,41%,4.2 out of 5(49)
Pembe Pembe All Purpose Home Baking Flour - 2Kg,KSh 190,10%,4.6 out of 5(194)
